"","case.id","sex","length","diameter","height","whole.weight","shucked.weight","viscera.weight","shell.weight","rings"
"1757",1758,"F",0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
"3681",3682,"M",0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11
"3799",3800,"F",0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
"432",432,"M",0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
"1043",1043,"F",0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12
"968",968,"I",0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
"2692",2693,"M",0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275,9
"2719",2720,"I",0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5
"503",503,"F",0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
"3816",3817,"M",0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
"2085",2086,"F",0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10
"3707",3708,"M",0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
"3639",3640,"I",0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8
"1487",1488,"M",0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
"42",42,"F",0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
"3205",3206,"M",0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9
"277",277,"F",0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
"1768",1769,"I",0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8
"2857",2858,"M",0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,11
"2084",2085,"F",0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
"3943",3944,"M",0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14
"1947",1948,"M",0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
"2746",2747,"I",0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8
"584",584,"I",0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13
"3375",3376,"F",0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
"1646",1647,"I",0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
"3231",3232,"M",0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
"4012",4014,"M",0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,8
"2608",2609,"F",0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8
"2350",2351,"F",0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
"2250",2251,"M",0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11
"255",255,"M",0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15
"3500",3501,"M",0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8
"3697",3698,"M",0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
"3269",3270,"F",0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12
"2469",2470,"M",0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13
"2511",2512,"I",0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
"1629",1630,"I",0.57,0.43,0.145,0.833,0.354,0.144,0.2815,10
"3815",3816,"I",0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8
"2712",2713,"I",0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4
"1517",1518,"F",0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
"1493",1494,"I",0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
"96",96,"M",0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
"507",507,"M",0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12
"3917",3918,"I",0.615,0.46,0.19,1.066,0.4335,0.226,0.33,13
"3596",3597,"M",0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
"17",17,"I",0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
"3491",3492,"M",0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
"3849",3850,"M",0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6
"2440",2441,"M",0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
"907",907,"I",0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
"2937",2938,"M",0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
"1151",1151,"M",0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
"1994",1995,"I",0.29,0.21,0.065,0.097,0.0375,0.022,0.03,6
"1492",1493,"F",0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11
"178",178,"I",0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
"2515",2516,"F",0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
"1888",1889,"F",0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
"2587",2588,"F",0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9
"175",175,"I",0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
"2461",2462,"F",0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13
"1025",1025,"F",0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
"975",975,"F",0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
"2854",2855,"F",0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
"3841",3842,"M",0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
"147",147,"M",0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
"1198",1198,"M",0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12
"1863",1864,"I",0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9
"2093",2094,"F",0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
"932",932,"F",0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
"705",705,"M",0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
"1309",1310,"I",0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10
"1621",1622,"M",0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10
"2865",2866,"I",0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
"3463",3464,"M",0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
"2316",2317,"M",0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
"4136",4138,"M",0.63,0.505,0.155,1.105,0.492,0.226,0.325,11
"3090",3091,"M",0.46,0.355,0.14,0.491,0.207,0.115,0.174,10
"1887",1888,"I",0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9
"3979",3980,"M",0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
"1513",1514,"M",0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
"3828",3829,"M",0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
"3488",3489,"I",0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
"770",770,"F",0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
"3798",3799,"F",0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,10
"1532",1533,"I",0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
"2654",2655,"F",0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9
"541",541,"F",0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15
"2959",2960,"F",0.66,0.525,0.16,1.277,0.4975,0.319,0.394,13
"704",704,"M",0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
"607",607,"M",0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
"563",563,"F",0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
"1928",1929,"F",0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12
"2479",2480,"F",0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,14
"4159",4161,"F",0.585,0.475,0.165,1.053,0.458,0.217,0.3,11
"2413",2414,"F",0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12
"1626",1627,"F",0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
"2793",2794,"M",0.63,0.505,0.175,1.221,0.555,0.252,0.34,12
"57",57,"M",0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
"3389",3390,"M",0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16
"2160",2161,"M",0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19
"1457",1458,"F",0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
"4129",4131,"M",0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,10
"2560",2561,"I",0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
"709",709,"M",0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
"4135",4137,"F",0.615,0.495,0.155,1.0805,0.52,0.19,0.32,9
"3912",3913,"I",0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
"2419",2420,"F",0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
"2481",2482,"M",0.39,0.285,0.095,0.271,0.11,0.06,0.08,8
"4150",4152,"I",0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
"2925",2926,"I",0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10
"3932",3933,"F",0.49,0.37,0.115,0.541,0.171,0.1175,0.185,11
"2103",2104,"M",0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
"991",991,"F",0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
"1545",1546,"I",0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
"155",155,"F",0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
"3838",3839,"I",0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8
"197",197,"F",0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
"3699",3700,"M",0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
"1160",1160,"M",0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
"1752",1753,"M",0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11
"2114",2115,"I",0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
"802",802,"M",0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
"1744",1745,"F",0.685,0.565,0.175,1.638,0.7775,0.375,0.438,11
"2724",2725,"I",0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8
"1176",1176,"M",0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10
"2899",2900,"I",0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
"117",117,"F",0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
"3276",3277,"M",0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
"2513",2514,"F",0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8
"922",922,"I",0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
"2282",2283,"F",0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
"1173",1173,"M",0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8
"3190",3191,"I",0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
"1141",1141,"M",0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9
"107",107,"F",0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
"1190",1190,"M",0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
"4119",4121,"M",0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7
"1201",1201,"F",0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
"3228",3229,"I",0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
"1290",1291,"I",0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
"1836",1837,"I",0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
"3109",3110,"I",0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7
"3079",3080,"F",0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
"815",815,"I",0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
"2407",2408,"I",0.625,0.43,0.175,1.411,0.572,0.297,0.395,12
"1171",1171,"F",0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
"4067",4069,"I",0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
"2492",2493,"F",0.475,0.38,0.145,0.57,0.167,0.118,0.187,11
"3911",3912,"I",0.355,0.27,0.1,0.216,0.083,0.037,0.075,10
"2915",2916,"I",0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
"121",121,"F",0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
"737",737,"M",0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
"1229",1229,"I",0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
"1024",1024,"F",0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10
"3850",3851,"F",0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
"2341",2342,"I",0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7
"3044",3045,"I",0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9
"2827",2828,"I",0.5,0.375,0.12,0.529,0.2235,0.123,0.16,8
"2602",2603,"M",0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8
"1340",1341,"M",0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9
"1927",1928,"M",0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9
"3470",3471,"M",0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
"2914",2915,"I",0.59,0.46,0.125,0.755,0.334,0.15,0.238,9
"3192",3193,"F",0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
"1687",1688,"F",0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9
"3083",3084,"I",0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
"449",449,"M",0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12
"796",796,"M",0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
"3755",3756,"I",0.51,0.395,0.105,0.5525,0.234,0.127,0.165,8
"4157",4159,"I",0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
"1449",1450,"M",0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
"131",131,"M",0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
"2145",2146,"F",0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
"2381",2382,"M",0.155,0.115,0.025,0.024,0.009,0.005,0.0075,5
"1170",1170,"F",0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
"3148",3149,"F",0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12
"2471",2472,"M",0.565,0.44,0.175,1.122,0.393,0.2,0.375,20
"169",169,"M",0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
"3257",3258,"M",0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
"724",724,"M",0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15
"3350",3351,"I",0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
"866",866,"F",0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
"4173",4175,"M",0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
"823",823,"I",0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
"779",779,"M",0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
"70",70,"I",0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6
"3802",3803,"I",0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,6
"2292",2293,"F",0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9
"115",115,"F",0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11
"208",208,"I",0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
"3780",3781,"M",0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10
"1622",1623,"I",0.565,0.42,0.155,0.743,0.31,0.186,0.231,9
"2088",2089,"F",0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
"2393",2394,"I",0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7
"254",254,"F",0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
"1393",1394,"M",0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
"3218",3219,"F",0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14
"2689",2690,"M",0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9
"739",739,"M",0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
"1617",1618,"I",0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
"38",38,"F",0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
"854",854,"M",0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
"1500",1501,"F",0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10
"2444",2445,"M",0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9
"3266",3267,"F",0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
"1095",1095,"I",0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
"3976",3977,"I",0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
"3168",3169,"M",0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15
"2961",2962,"F",0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10
"3309",3310,"I",0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9
"2583",2584,"F",0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
"3612",3613,"M",0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
"2229",2230,"M",0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7
"3860",3861,"F",0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14
"1087",1087,"I",0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
"5",5,"I",0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
"217",217,"M",0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
"283",283,"F",0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
"44",44,"I",0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
"1102",1102,"I",0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8
"392",392,"M",0.475,0.375,0.125,0.593,0.277,0.115,0.18,10
"3480",3481,"I",0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
"123",123,"F",0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
"32",32,"F",0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
"530",530,"M",0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9
"2725",2726,"I",0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,8
"3465",3466,"F",0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
"893",893,"I",0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
"616",616,"M",0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
"3302",3303,"F",0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15
"3676",3677,"F",0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10
"3877",3878,"F",0.645,0.5,0.225,1.626,0.587,0.4055,0.41,15
"4124",4126,"I",0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9
"239",239,"I",0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
"141",141,"F",0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
"1706",1707,"M",0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
"3999",4001,"I",0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
"2267",2268,"F",0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15
"218",218,"I",0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
"59",59,"I",0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
"1442",1443,"I",0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
"3887",3888,"F",0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9
"2343",2344,"I",0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6
"2293",2294,"I",0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
"2883",2884,"I",0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8
"1059",1059,"I",0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
"3160",3161,"I",0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7
"3665",3666,"I",0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9
"128",128,"I",0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
"2906",2907,"M",0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8
"2673",2674,"M",0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
"3506",3507,"M",0.625,0.47,0.175,1.179,0.605,0.258,0.271,9
"939",939,"I",0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
"1630",1631,"I",0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9
"1391",1392,"F",0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9
"1980",1981,"F",0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10
"3005",3006,"M",0.68,0.54,0.21,1.7885,0.8345,0.408,0.437,13
"3316",3317,"M",0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
"4154",4156,"I",0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
"3525",3526,"I",0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
"3346",3347,"I",0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
"3015",3016,"I",0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6
"1499",1500,"M",0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
"2787",2788,"F",0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
"4122",4124,"I",0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
"674",674,"M",0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
"2978",2979,"M",0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
"171",171,"M",0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
"1329",1330,"I",0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8
"1475",1476,"F",0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
"1344",1345,"M",0.585,0.47,0.165,1.409,0.8,0.229,0.295,10
"2165",2166,"F",0.61,0.45,0.16,1.136,0.414,0.311,0.3,9
"3297",3298,"M",0.645,0.5,0.19,1.229,0.524,0.278,0.395,17
"2942",2943,"M",0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
"2646",2647,"I",0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
"4018",4020,"M",0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
"574",574,"F",0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17
"4049",4051,"M",0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9
"2817",2818,"I",0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
"3873",3874,"I",0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
"846",846,"M",0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
"2845",2846,"F",0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10
"604",604,"I",0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11
"1573",1574,"I",0.48,0.37,0.12,0.536,0.251,0.114,0.15,8
"3611",3612,"F",0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10
"1159",1159,"M",0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9
"1422",1423,"M",0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
"404",404,"F",0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
"2006",2007,"I",0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7
"972",972,"M",0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
"3418",3419,"F",0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
"3449",3450,"M",0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
"3893",3894,"I",0.435,0.355,0.125,0.4075,0.1535,0.074,0.165,9
"3177",3178,"F",0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
"2349",2350,"F",0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
"3182",3183,"M",0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10
"1730",1731,"M",0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11
"1390",1391,"F",0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,9
"3089",3090,"M",0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
"475",475,"F",0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10
"213",213,"F",0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
"78",78,"F",0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
"1959",1960,"F",0.65,0.51,0.155,1.189,0.483,0.278,0.3645,13
"2228",2229,"F",0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
"2561",2562,"I",0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
"441",441,"I",0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10
"4155",4157,"M",0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
"3158",3159,"M",0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9
"1273",1274,"I",0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
"600",600,"F",0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16
"1524",1525,"F",0.7,0.55,0.17,1.684,0.7535,0.3265,0.32,11
"1736",1737,"F",0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
"1047",1047,"F",0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10
"3187",3188,"F",0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
"1682",1683,"I",0.62,0.49,0.16,1.066,0.446,0.246,0.305,11
"3904",3905,"M",0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
"3840",3841,"F",0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
"1976",1977,"M",0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13
"3910",3911,"M",0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
"3641",3642,"I",0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
"3324",3325,"I",0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
"2022",2023,"F",0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
"897",897,"I",0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
"608",608,"I",0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
"3801",3802,"I",0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3
"1686",1687,"M",0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12
"2174",2175,"F",0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13
"1217",1217,"I",0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
"3030",3031,"I",0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,11
"376",376,"F",0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
"124",124,"M",0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
"3822",3823,"F",0.605,0.48,0.175,1.1685,0.4815,0.2305,0.356,9
"1833",1834,"I",0.405,0.3,0.09,0.269,0.103,0.067,0.11,6
"2659",2660,"F",0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
"2072",2073,"M",0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8
"2990",2991,"F",0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9
"1619",1620,"I",0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10
